Date,Open,Close,Volume,Ticker,Sector
1/24/2020,320.25,318.309998,36634400,AAPL,Information Technology
1/27/2020,310.059998,308.950012,40485000,AAPL,Information Technology
1/28/2020,312.600006,317.690002,40558500,AAPL,Information Technology
1/29/2020,324.450012,324.339996,54057300,AAPL,Information Technology
1/30/2020,320.540009,323.869995,31685800,AAPL,Information Technology
1/31/2020,320.929993,309.51001,49897100,AAPL,Information Technology
2/3/2020,304.299988,308.660004,43496400,AAPL,Information Technology
2/4/2020,315.309998,318.850006,34154100,AAPL,Information Technology
2/5/2020,323.519989,321.450012,29706700,AAPL,Information Technology
2/6/2020,322.570007,325.209991,26356400,AAPL,Information Technology
2/7/2020,322.369995,320.029999,29421000,AAPL,Information Technology
2/10/2020,314.179993,321.549988,27337200,AAPL,Information Technology
2/11/2020,323.600006,319.609985,23580800,AAPL,Information Technology
2/12/2020,321.470001,327.200012,28432600,AAPL,Information Technology
2/13/2020,324.190002,324.869995,23625500,AAPL,Information Technology
2/14/2020,324.73999,324.950012,20028400,AAPL,Information Technology
2/18/2020,315.359985,319,38132800,AAPL,Information Technology
2/19/2020,320,323.619995,23496000,AAPL,Information Technology
2/20/2020,322.630005,320.299988,25141500,AAPL,Information Technology
2/21/2020,318.619995,313.049988,32388500,AAPL,Information Technology
2/24/2020,297.26001,298.179993,55548800,AAPL,Information Technology
2/25/2020,300.950012,288.079987,57668400,AAPL,Information Technology
2/26/2020,286.529999,292.649994,49513700,AAPL,Information Technology
2/27/2020,281.100006,273.519989,79834500,AAPL,Information Technology
2/28/2020,257.26001,273.359985,106721200,AAPL,Information Technology
3/2/2020,282.279999,298.809998,85349300,AAPL,Information Technology
3/3/2020,303.670013,289.320007,79868900,AAPL,Information Technology
3/4/2020,296.440002,302.73999,54794600,AAPL,Information Technology
3/5/2020,295.519989,292.920013,46893200,AAPL,Information Technology
3/6/2020,282,289.029999,56544200,AAPL,Information Technology
3/9/2020,263.75,266.170013,71686200,AAPL,Information Technology
3/10/2020,277.140015,285.339996,71322500,AAPL,Information Technology
3/11/2020,277.390015,275.429993,63899700,AAPL,Information Technology
3/12/2020,255.940002,248.229996,104618500,AAPL,Information Technology
3/13/2020,264.890015,277.970001,92683000,AAPL,Information Technology
3/16/2020,241.949997,242.210007,80605900,AAPL,Information Technology
3/17/2020,247.509995,252.860001,81014000,AAPL,Information Technology
3/18/2020,239.770004,246.669998,75058400,AAPL,Information Technology
3/19/2020,247.389999,244.779999,67964300,AAPL,Information Technology
3/20/2020,247.179993,229.240005,100423300,AAPL,Information Technology
3/23/2020,228.080002,224.369995,84188200,AAPL,Information Technology
3/24/2020,236.360001,246.880005,71882800,AAPL,Information Technology
3/25/2020,250.75,245.520004,75900500,AAPL,Information Technology
3/26/2020,246.520004,258.440002,63021800,AAPL,Information Technology
3/27/2020,252.75,247.740005,51054200,AAPL,Information Technology
3/30/2020,250.740005,254.809998,41994100,AAPL,Information Technology
1/2/2018,63.900002,64.040001,2192400,TMUS,Telecommunication Services
1/3/2018,63.889999,63.610001,2610800,TMUS,Telecommunication Services
1/4/2018,63.889999,63,2384400,TMUS,Telecommunication Services
1/5/2018,63.540001,64.599998,3292600,TMUS,Telecommunication Services
1/8/2018,64.459999,65.099998,3606000,TMUS,Telecommunication Services
1/9/2018,66,65.599998,5334400,TMUS,Telecommunication Services
1/10/2018,65.18,63.889999,3597000,TMUS,Telecommunication Services
1/11/2018,63.939999,63.84,3149100,TMUS,Telecommunication Services
1/12/2018,64.160004,63.68,3165200,TMUS,Telecommunication Services
1/16/2018,64.139999,62.970001,4669900,TMUS,Telecommunication Services
1/17/2018,63.400002,63.759998,2925600,TMUS,Telecommunication Services
1/18/2018,63.84,62.880001,4088700,TMUS,Telecommunication Services
1/19/2018,62.75,63.709999,4768300,TMUS,Telecommunication Services
1/22/2018,63.75,63.939999,2390300,TMUS,Telecommunication Services
1/23/2018,64.019997,64.529999,2872400,TMUS,Telecommunication Services
1/24/2018,64.589996,65,2894300,TMUS,Telecommunication Services
1/25/2018,65.400002,64.389999,2798500,TMUS,Telecommunication Services
1/26/2018,64.599998,65.279999,2028400,TMUS,Telecommunication Services
1/29/2018,64.75,64.599998,2553600,TMUS,Telecommunication Services
1/30/2018,64.800003,64.760002,2017700,TMUS,Telecommunication Services
1/31/2018,64.540001,65.099998,2164900,TMUS,Telecommunication Services
2/1/2018,64.699997,63.790001,4258500,TMUS,Telecommunication Services
2/2/2018,63.84,63.59,2647200,TMUS,Telecommunication Services
2/5/2018,63.459999,61.540001,3489600,TMUS,Telecommunication Services
2/6/2018,60.029999,60.849998,5740600,TMUS,Telecommunication Services
2/7/2018,60.959999,62.060001,7319300,TMUS,Telecommunication Services
2/8/2018,61,58.880001,8031400,TMUS,Telecommunication Services
2/9/2018,60.099998,59.200001,5150900,TMUS,Telecommunication Services
2/12/2018,59.66,58.119999,4816100,TMUS,Telecommunication Services
2/13/2018,57.68,57.689999,5378600,TMUS,Telecommunication Services
2/14/2018,57.349998,58.619999,6498600,TMUS,Telecommunication Services
2/15/2018,59.32,60.439999,6213400,TMUS,Telecommunication Services
2/16/2018,60.630001,60.060001,4812000,TMUS,Telecommunication Services
2/20/2018,60,60.509998,3059000,TMUS,Telecommunication Services
2/21/2018,61.09,59.419998,2973800,TMUS,Telecommunication Services
2/22/2018,59.75,58.73,3066000,TMUS,Telecommunication Services
2/23/2018,59.389999,60.060001,4079700,TMUS,Telecommunication Services
