,Date,Consumer Staples,Information Technology,Ameriprise Financial,Consumer Discretionary,Utilities,Real Estate,Health Care,Materials,Energy,Telecommunication Services,Industrials,S&P
53,3/20/2019,98.64,188.16,129.13,1797.27,104.69,448.08,128.16,28.18,17.6,72.06,79.83,2824.23
54,3/21/2019,99.06,195.09,129.55,1819.26,106.22,458.29,128.31,28.3,17.69,72.26,81.0,2854.88
55,3/22/2019,98.28,191.05,124.13,1764.77,106.78,451.5,128.3,26.85,16.68,71.9,79.63,2800.71
56,3/25/2019,98.17,188.74,123.8,1774.26,106.69,446.18,129.87,26.93,16.71,72.31,78.12,2798.36
57,3/26/2019,98.32,186.79,125.87,1783.76,107.2,447.67,131.02,26.42,17.11,73.34,77.49,2818.46
58,3/27/2019,97.21,188.47,125.59,1765.7,105.87,448.08,128.77,26.6,17.06,72.24,78.53,2805.37
59,3/28/2019,97.13,188.72,126.99,1773.42,104.32,449.96,128.95,27.17,16.82,69.15,78.6,2815.44
60,3/29/2019,97.53,189.95,128.1,1780.75,104.26,453.16,129.76,27.31,16.71,69.1,79.78,2834.4
61,4/1/2019,97.82,191.24,132.68,1814.19,103.85,456.3,129.05,27.84,17.39,69.97,80.87,2867.19
62,4/2/2019,96.94,194.02,136.12,1813.98,103.71,460.44,129.32,27.51,17.13,69.73,82.77,2867.24
63,4/3/2019,97.19,195.35,136.56,1820.7,104.03,462.01,127.05,27.36,16.93,69.0,84.2,2873.4
64,4/4/2019,98.11,195.69,137.28,1818.86,103.86,461.44,125.61,27.72,17.14,70.05,84.64,2879.39
65,4/5/2019,98.83,197.0,137.94,1837.28,104.92,466.62,126.99,27.92,17.7,70.35,84.91,2892.74
66,4/8/2019,99.23,200.1,138.54,1849.86,104.14,463.41,127.16,27.85,17.6,71.23,84.58,2895.77
67,4/9/2019,98.69,199.5,136.47,1835.84,104.57,460.11,127.24,27.44,17.26,71.42,84.25,2878.2
68,4/10/2019,99.6,200.62,138.54,1847.33,104.03,461.21,127.19,27.36,17.45,72.16,84.52,2888.21
69,4/11/2019,100.8,198.95,139.65,1844.07,104.32,460.67,125.15,27.0,17.19,73.0,85.75,2888.32
70,4/12/2019,101.56,198.87,142.54,1843.06,104.16,463.38,123.06,26.8,17.76,73.71,85.49,2907.41
71,4/15/2019,102.43,199.23,141.27,1844.87,103.96,460.0,124.08,26.63,17.38,73.79,84.52,2905.58
72,4/16/2019,102.93,199.25,144.07,1863.04,102.42,452.66,119.96,26.84,17.47,74.1,85.17,2907.06
73,4/17/2019,103.16,203.13,143.25,1864.82,102.28,447.52,116.5,26.9,17.74,72.46,89.24,2900.45
74,4/18/2019,103.18,203.86,143.27,1861.69,104.7,446.44,115.2,27.07,17.62,73.75,88.28,2905.03
75,4/22/2019,102.37,204.53,143.11,1887.31,104.93,447.23,115.47,27.16,18.78,73.72,87.56,2907.97
76,4/23/2019,103.07,207.48,144.85,1923.77,104.8,450.21,117.49,26.83,18.68,73.75,87.97,2933.68
77,4/24/2019,103.53,207.16,144.0,1901.75,105.84,453.46,118.0,26.32,18.15,73.33,88.03,2927.25
78,4/25/2019,103.52,205.28,145.06,1902.25,106.53,453.89,118.23,26.05,17.93,72.71,86.86,2926.17
79,4/26/2019,101.53,204.3,146.63,1950.63,106.88,453.05,119.87,26.18,17.38,72.92,87.94,2939.88
80,4/29/2019,101.56,204.61,147.72,1938.43,106.42,448.81,119.6,26.13,17.15,73.6,89.61,2943.03
81,4/30/2019,102.84,200.67,146.77,1926.52,108.19,454.7,117.04,26.11,17.04,72.99,88.86,2945.83
82,5/1/2019,101.36,210.52,146.6,1911.52,107.1,450.01,118.18,25.81,16.53,73.58,87.94,2923.73
83,5/2/2019,101.15,209.15,147.37,1900.82,106.68,465.01,118.46,25.25,15.52,73.61,88.31,2917.52
84,5/3/2019,102.08,211.75,147.85,1962.46,107.38,476.99,116.91,25.62,15.68,74.74,88.5,2945.64
85,5/6/2019,102.46,208.48,147.28,1950.55,107.21,478.53,116.65,25.27,15.77,74.46,87.79,2932.47
86,5/7/2019,101.3,202.86,144.27,1921.0,107.08,474.93,114.94,23.25,15.51,74.0,85.68,2884.05
87,5/8/2019,100.3,202.9,143.03,1917.77,105.86,478.98,116.25,23.93,15.56,72.63,84.64,2879.42
88,5/9/2019,99.54,200.72,142.83,1899.87,106.28,476.59,115.8,23.65,15.27,74.25,84.12,2870.72
89,5/10/2019,101.91,197.18,144.56,1889.98,108.27,479.82,116.22,23.9,15.26,75.23,84.79,2881.4
90,5/13/2019,99.89,185.72,139.38,1822.68,110.69,476.24,114.37,22.91,15.03,73.42,82.07,2811.87
91,5/14/2019,100.29,188.66,142.52,1840.12,109.84,484.0,114.94,22.81,15.46,73.6,83.45,2834.41
92,5/15/2019,99.88,190.92,142.25,1871.15,110.26,486.62,115.62,22.82,15.43,74.63,82.35,2850.96
93,5/16/2019,101.31,190.08,144.97,1907.57,111.17,491.76,116.73,23.16,15.71,75.38,82.58,2876.32
94,5/17/2019,100.86,189.0,143.79,1869.0,112.04,490.28,116.01,22.8,15.47,75.37,81.5,2859.53
95,5/20/2019,101.52,183.09,145.88,1858.97,111.28,480.12,116.23,22.48,15.54,78.29,81.74,2840.23
96,5/21/2019,101.12,186.6,148.4,1857.52,111.42,484.45,116.58,22.85,15.84,77.15,82.97,2864.36
97,5/22/2019,102.23,182.78,146.36,1859.68,112.82,493.99,117.98,22.34,15.43,76.35,81.88,2856.27
98,5/23/2019,101.86,179.66,144.36,1815.48,113.32,496.26,116.81,21.62,14.56,76.01,80.91,2822.24
99,5/24/2019,102.67,178.97,146.39,1823.28,113.69,496.52,116.79,21.6,14.43,77.27,80.79,2826.06
100,5/28/2019,102.42,178.23,144.25,1836.43,113.34,491.23,115.76,21.32,14.33,75.91,79.9,2802.39
101,5/29/2019,102.12,177.38,144.03,1819.19,111.78,482.55,115.49,21.4,14.09,76.13,79.25,2783.02
102,5/30/2019,102.19,178.3,143.35,1816.32,111.94,487.31,115.9,21.27,13.62,76.03,79.47,2788.86
103,5/31/2019,101.44,175.07,138.23,1775.07,113.02,485.79,115.94,21.47,13.15,73.44,77.65,2752.06
104,6/3/2019,101.96,173.3,140.78,1692.69,114.06,485.58,116.77,22.03,13.33,74.2,77.72,2744.45
105,6/4/2019,102.56,179.64,146.92,1729.56,113.82,481.05,117.56,22.72,13.45,75.69,80.52,2803.27
106,6/5/2019,104.42,182.54,147.5,1738.5,116.49,495.29,117.02,22.25,13.19,76.29,81.85,2826.15
107,6/6/2019,105.11,185.22,149.75,1754.36,117.35,494.66,117.5,22.46,13.25,75.95,82.96,2843.49
108,6/7/2019,106.06,190.15,149.87,1804.03,116.29,499.6,118.35,22.15,13.31,77.03,83.27,2873.34
109,6/10/2019,107.52,192.58,151.25,1860.63,115.84,506.02,113.93,22.25,13.45,76.67,82.67,2886.73
110,6/11/2019,107.94,194.81,151.92,1863.7,115.38,504.24,112.21,22.39,13.41,75.46,82.77,2885.72
111,6/12/2019,108.82,194.19,150.39,1855.32,117.09,503.67,115.24,22.66,13.02,75.38,83.79,2879.84
112,6/13/2019,108.65,194.15,151.54,1870.3,116.68,507.3,111.82,22.84,13.28,74.45,87.11,2891.64
113,6/14/2019,109.07,192.74,153.53,1869.67,118.27,509.92,111.74,22.36,12.98,74.9,87.12,2886.98
114,6/17/2019,109.16,193.89,147.79,1886.03,117.62,511.48,113.4,23.28,13.33,75.27,86.77,2889.67
115,6/18/2019,109.65,198.45,150.04,1901.37,116.64,503.23,114.65,24.06,13.67,76.44,87.4,2917.75
116,6/19/2019,109.62,197.87,148.09,1908.79,117.98,511.17,115.23,23.47,13.63,78.28,88.66,2926.46
117,6/20/2019,110.32,199.46,149.29,1918.19,118.19,508.37,115.56,23.63,14.11,77.93,87.14,2954.18
118,6/21/2019,111.13,198.78,146.77,1911.3,118.07,508.09,115.49,23.42,14.05,75.7,86.72,2950.46
119,6/24/2019,111.24,198.58,147.72,1913.9,118.4,510.04,115.63,23.43,13.93,75.54,86.55,2945.35
120,6/25/2019,110.72,195.57,143.7,1878.27,117.18,500.05,115.36,24.16,13.9,74.58,85.06,2917.38
121,6/26/2019,110.16,199.8,146.12,1897.83,115.31,490.28,111.34,24.14,14.39,73.04,85.33,2913.78
122,6/27/2019,110.1,199.74,144.03,1904.28,115.26,498.19,111.47,24.39,14.2,73.29,86.43,2924.92
123,6/28/2019,110.49,197.92,145.16,1893.63,116.0,504.29,110.79,25.03,14.21,74.14,87.55,2941.76
124,7/1/2019,110.62,201.55,145.75,1922.19,115.73,504.94,112.74,25.27,14.25,74.15,88.45,2964.33
125,7/2/2019,111.6,202.73,146.02,1934.31,117.28,514.94,114.2,24.65,13.55,75.48,88.87,2973.01
126,7/3/2019,112.32,204.41,147.82,1939.0,118.43,518.95,114.42,24.76,13.66,75.82,90.67,2995.82
127,7/5/2019,111.98,204.23,150.12,1942.91,117.96,518.18,112.82,24.8,13.76,76.23,90.59,2990.41
128,7/8/2019,112.72,200.02,148.94,1952.32,118.02,519.16,111.52,24.05,13.52,75.63,90.67,2975.95
129,7/9/2019,112.88,201.24,150.2,1988.3,118.29,521.5,113.08,23.33,13.54,75.15,89.46,2979.63
130,7/10/2019,112.98,203.23,148.32,2017.41,118.71,527.16,114.53,23.08,13.9,78.63,89.51,2993.07
131,7/11/2019,113.92,201.75,150.42,2001.07,117.47,523.88,109.82,22.49,13.65,78.26,89.48,2999.91
132,7/12/2019,114.6,203.3,151.14,2011.0,116.63,518.01,108.29,23.0,13.92,79.45,91.23,3013.77
133,7/15/2019,114.98,205.21,150.29,2020.99,115.98,516.99,108.47,23.37,13.48,79.31,91.32,3014.3
134,7/16/2019,114.76,204.5,150.89,2009.9,115.76,514.22,108.82,23.71,13.32,79.04,93.92,3004.04
135,7/17/2019,114.6,203.35,148.47,1992.03,116.09,512.18,107.09,23.86,13.22,78.93,94.78,2984.42
136,7/18/2019,114.72,205.66,150.08,1977.9,117.25,512.17,108.34,23.83,13.38,77.97,95.28,2995.11
137,7/19/2019,113.9,202.59,148.66,1964.52,114.98,506.61,106.79,24.22,13.66,77.43,93.83,2976.61
138,7/22/2019,112.82,207.22,147.83,1985.63,115.23,506.4,107.27,24.25,13.67,77.66,93.83,2985.03
139,7/23/2019,112.09,208.84,149.09,1994.49,114.47,507.33,108.22,24.79,13.76,78.14,94.93,3005.47
140,7/24/2019,112.0,208.67,151.47,2000.81,114.01,508.32,108.52,24.83,13.97,80.61,95.11,3019.56
141,7/25/2019,112.22,207.02,146.97,1973.82,113.86,490.48,107.82,24.25,13.75,79.91,93.93,3003.67
142,7/26/2019,113.02,207.74,149.93,1943.05,115.09,488.81,108.27,24.31,13.75,84.25,93.36,3025.86
143,7/29/2019,112.27,209.68,149.74,1912.45,115.31,486.58,108.72,23.84,13.5,82.38,93.44,3020.97
144,7/30/2019,112.06,208.78,148.53,1898.53,115.11,498.82,108.69,25.25,14.13,81.3,93.93,3013.18
145,7/31/2019,110.38,213.04,145.51,1866.78,114.78,502.1,108.95,25.19,14.07,79.73,91.91,2980.38
146,8/1/2019,109.38,208.43,140.56,1855.32,117.02,522.75,110.51,25.08,13.53,79.31,90.49,2953.56
147,8/2/2019,109.4,204.02,135.3,1823.24,117.29,524.09,112.42,24.39,13.28,77.73,89.43,2932.05
148,8/5/2019,105.82,193.34,130.45,1765.13,115.38,512.68,108.71,23.6,12.5,76.19,85.59,2844.74
149,8/6/2019,107.27,197.0,133.27,1787.83,117.42,519.86,111.4,22.02,12.16,77.28,85.46,2881.77
150,8/7/2019,108.2,199.04,131.05,1793.4,118.45,533.09,111.12,22.72,12.05,76.48,86.48,2883.98
151,8/8/2019,108.52,203.43,134.94,1832.89,119.41,549.24,113.97,23.07,12.86,77.9,87.63,2938.09
152,8/9/2019,107.28,200.99,131.82,1807.58,120.55,552.42,113.77,22.6,12.87,77.52,86.98,2918.65
153,8/12/2019,105.22,200.48,125.48,1784.92,122.51,553.3,113.6,20.76,12.74,76.94,84.71,2883.75
154,8/13/2019,107.41,208.97,128.72,1824.34,121.83,548.38,115.7,20.61,12.95,77.62,84.56,2926.32
155,8/14/2019,106.2,202.75,122.4,1762.96,121.2,539.88,110.29,19.64,12.3,76.93,81.95,2840.6
156,8/15/2019,112.69,201.74,122.75,1776.12,124.5,546.34,110.23,19.29,12.02,77.27,81.62,2847.6
157,8/16/2019,112.99,206.5,126.34,1792.57,124.22,551.81,110.52,19.74,12.45,77.75,82.94,2888.68
158,8/19/2019,113.81,210.35,128.03,1816.12,123.99,555.73,112.53,19.98,12.88,78.23,83.89,2923.65
159,8/20/2019,112.05,210.36,126.35,1801.38,123.61,547.0,111.01,19.37,12.62,77.68,84.03,2900.51
